Region code,Industry code,Date,Number of total users,Number of resumption users,Total electric power consumption
1,100,2019/8/10 0:00,2383,1379,809489.9159
1,100,2019/8/11 0:00,2385,1359,817181.393
1,200,2019/8/11 0:00,125,78,64580.2067
1,200,2019/8/15 0:00,125,85,75207.11
1,300,2019/8/9 0:00,2670,1772,82038.7166
1,300,2019/8/10 0:00,2671,1771,70500.0233
1,300,2019/8/16 0:00,2672,1767,71025.7966
1,500,2019/8/4 0:00,91,66,20362.1265
1,500,2019/8/6 0:00,91,59,29624.24
1,05A0,2019/8/9 0:00,1726,1210,1426110.321
1,05A0,2019/8/10 0:00,1727,1125,1232417.68
1,05A0,2019/8/16 0:00,1727,1116,1290369.617
1,610,2019/8/5 0:00,31,13,646384.8
1,610,2019/8/7 0:00,31,13,639825.9
1,610,2019/8/12 0:00,31,13,565934.15
1,690,2019/8/4 0:00,15,7,883.2867
1,690,2019/8/6 0:00,15,7,781.72
1,720,2019/8/2 0:00,4,3,516.9
1,720,2019/8/5 0:00,4,3,530.4
1,720,2019/8/7 0:00,4,3,550.5
1,720,2019/8/8 0:00,4,3,557.7
1,720,2019/8/13 0:00,4,3,524.1
1,810,2019/8/11 0:00,3,3,59.73
1,810,2019/8/14 0:00,3,3,58.93
1,810,2019/8/15 0:00,3,3,48.48
1,820,2019/8/7 0:00,1,1,7.05
1,820,2019/8/12 0:00,1,1,7.2
1,910,2019/8/1 0:00,4,2,3620.9
1,910,2019/8/2 0:00,4,2,3923.1
1,910,2019/8/5 0:00,4,2,4089.5
1,910,2019/8/8 0:00,4,2,3420.9
1,910,2019/8/13 0:00,4,2,3173
1,1010,2019/8/3 0:00,214,102,212579.0203
1,1020,2019/8/3 0:00,2,2,270.96
1,1030,2019/8/10 0:00,1,1,143.1
1,1090,2019/8/10 0:00,3,3,769.06
1,1090,2019/8/11 0:00,3,3,1052.96
1,1110,2019/8/5 0:00,26,24,13784.16
1,1110,2019/8/7 0:00,26,24,13899.01
1,1110,2019/8/12 0:00,26,23,11198.36
1,1110,2019/8/13 0:00,26,22,12703.42
1,1190,2019/8/3 0:00,25,11,1779.91
1,1190,2019/8/9 0:00,25,10,2429.06
1,1190,2019/8/16 0:00,25,10,1426.36
1,1310,2019/8/3 0:00,114,65,7546.05
1,1310,2019/8/9 0:00,114,64,9847.6467
1,1310,2019/8/16 0:00,114,63,14649.46
1,1320,2019/8/2 0:00,3160,1753,93424.1857
1,1320,2019/8/5 0:00,3156,1762,91568.334
1,1320,2019/8/7 0:00,3154,1756,92057.6083
1,1320,2019/8/8 0:00,3152,1740,110961.7333
1,1320,2019/8/13 0:00,3153,1720,85278.3633
1,1330,2019/8/5 0:00,141,75,33732.58
1,1330,2019/8/7 0:00,141,76,33247.19
1,1330,2019/8/12 0:00,141,67,25649.6833
1,1330,2019/8/13 0:00,141,72,24787.0793
1,1340,2019/8/2 0:00,1,1,4
1,1340,2019/8/5 0:00,1,1,3.2
1,1340,2019/8/7 0:00,1,1,3.2
1,1340,2019/8/8 0:00,1,1,3.2
1,1340,2019/8/13 0:00,1,1,3.2
1,1350,2019/8/3 0:00,31,24,74308.7
1,1350,2019/8/4 0:00,31,25,66263.26
1,1350,2019/8/6 0:00,31,26,75400.74
1,1360,2019/8/3 0:00,4,3,11103.4
1,1360,2019/8/9 0:00,4,3,14099.78
1,1370,2019/8/9 0:00,34,22,114308.3833
1,1370,2019/8/10 0:00,34,21,118463.6533
1,1370,2019/8/16 0:00,34,21,126353.3633
1,1390,2019/8/9 0:00,1100,614,95525.86
1,1390,2019/8/10 0:00,1099,605,87349.6137
1,1390,2019/8/16 0:00,1097,608,92562.297
1,1410,2019/8/12 0:00,174,106,24331.2133
1,1420,2019/8/7 0:00,7,5,721.49
1,1420,2019/8/12 0:00,7,4,758.83
1,1430,2019/8/3 0:00,16,11,617.8
1,1430,2019/8/4 0:00,16,12,1075.55
1,1430,2019/8/6 0:00,16,13,899.03
1,1450,2019/8/11 0:00,3,1,9165
1,1450,2019/8/15 0:00,3,2,37950
1,1460,2019/8/7 0:00,27,23,11099.04
1,1460,2019/8/12 0:00,27,14,5027.24
1,1490,2019/8/4 0:00,163,103,57968.7368
1,1490,2019/8/6 0:00,163,104,76978.9467
1,1520,2019/8/9 0:00,13,10,42715.4
1,1520,2019/8/10 0:00,13,10,38915.2
1,1520,2019/8/16 0:00,13,9,37413.05
1,1530,2019/8/1 0:00,23,14,190610.94
1,1530,2019/8/2 0:00,23,15,209617.8
1,1530,2019/8/5 0:00,23,16,305345.12
